cp	max_depth	min_split	min_bucket	ganancia_promedio
-0.3	8	200	5	49806000
-0.1	8	200	5	49806000
-1	8	100	500	51936000
-0.5	8	100	500	51936000
-0.3	8	100	500	51936000
-0.1	8	100	500	51936000
-1	8	100	400	51544000
-0.5	8	100	400	51544000
-0.3	8	100	400	51544000
-0.1	8	100	400	51544000
-1	8	100	300	50230000
-0.5	8	100	300	50230000
-0.3	8	100	300	50230000
-0.1	8	100	300	50230000
-1	8	100	200	48404000
-0.5	8	100	200	48404000
-0.3	8	100	200	48404000
-0.1	8	100	200	48404000
-1	8	100	50	45006000
-0.5	8	100	50	45006000
-0.3	8	100	50	45006000
-0.1	8	100	50	45006000
-1	8	100	25	45914000
-0.5	8	100	25	45914000
-0.3	8	100	25	45914000
-0.1	8	100	25	45914000
-1	8	100	10	47752000
-0.5	8	100	10	47752000
-0.3	8	100	10	47752000
-0.1	8	100	10	47752000
-1	8	100	5	48706000
-0.5	8	100	5	48706000
-0.3	8	100	5	48706000
-0.1	8	100	5	48706000
-1	8	50	500	51936000
-0.5	8	50	500	51936000
-0.3	8	50	500	51936000
-0.1	8	50	500	51936000
-1	8	50	400	51544000
-0.5	8	50	400	51544000
-0.3	8	50	400	51544000
-0.1	8	50	400	51544000
-1	8	50	300	50230000
-0.5	8	50	300	50230000
-0.3	8	50	300	50230000
-0.1	8	50	300	50230000
-1	8	50	200	48404000
-0.5	8	50	200	48404000
-0.3	8	50	200	48404000
-0.1	8	50	200	48404000
-1	8	50	50	45006000
-0.5	8	50	50	45006000
-0.3	8	50	50	45006000
-0.1	8	50	50	45006000
-1	8	50	25	45288000
-0.5	8	50	25	45288000
-0.3	8	50	25	45288000
-0.1	8	50	25	45288000
-1	8	50	10	46216000
-0.5	8	50	10	46216000
-0.3	8	50	10	46216000
-0.1	8	50	10	46216000
-1	8	50	5	47774000
-0.5	8	50	5	47774000
-0.3	8	50	5	47774000
-0.1	8	50	5	47774000
-1	8	20	500	51936000
-0.5	8	20	500	51936000
-0.3	8	20	500	51936000
-0.1	8	20	500	51936000
-1	8	20	400	51544000
-0.5	8	20	400	51544000
-0.3	8	20	400	51544000
-0.1	8	20	400	51544000
-1	8	20	300	50230000
-0.5	8	20	300	50230000
-0.3	8	20	300	50230000
-0.1	8	20	300	50230000
-1	8	20	200	48404000
-0.5	8	20	200	48404000
-0.3	8	20	200	48404000
-0.1	8	20	200	48404000
-1	8	20	50	45006000
-0.5	8	20	50	45006000
-0.3	8	20	50	45006000
-0.1	8	20	50	45006000
-1	8	20	25	45288000
-0.5	8	20	25	45288000
-0.3	8	20	25	45288000
-0.1	8	20	25	45288000
-1	8	20	10	44690000
-0.5	8	20	10	44690000
-0.3	8	20	10	44690000
-0.1	8	20	10	44690000
-1	8	20	5	46902000
-0.5	8	20	5	46902000
-0.3	8	20	5	46902000
-0.1	8	20	5	46902000
-1	8	10	500	51936000
-0.5	8	10	500	51936000
-0.3	8	10	500	51936000
-0.1	8	10	500	51936000
-1	8	10	400	51544000
-0.5	8	10	400	51544000
-0.3	8	10	400	51544000
-0.1	8	10	400	51544000
-1	8	10	300	50230000
-0.5	8	10	300	50230000
-0.3	8	10	300	50230000
-0.1	8	10	300	50230000
-1	8	10	200	48404000
-0.5	8	10	200	48404000
-0.3	8	10	200	48404000
-0.1	8	10	200	48404000
-1	8	10	50	45006000
-0.5	8	10	50	45006000
-0.3	8	10	50	45006000
-0.1	8	10	50	45006000
-1	8	10	25	45288000
-0.5	8	10	25	45288000
-0.3	8	10	25	45288000
-0.1	8	10	25	45288000
-1	8	10	10	44690000
-0.5	8	10	10	44690000
-0.3	8	10	10	44690000
-0.1	8	10	10	44690000
-1	8	10	5	45254000
-0.5	8	10	5	45254000
-0.3	8	10	5	45254000
-0.1	8	10	5	45254000
-1	10	1000	500	52094000
-0.5	10	1000	500	52094000
-0.3	10	1000	500	52094000
-0.1	10	1000	500	52094000
-1	10	1000	400	51710000
-0.5	10	1000	400	51710000
-0.3	10	1000	400	51710000
-0.1	10	1000	400	51710000
-1	10	1000	300	52692000
-0.5	10	1000	300	52692000
-0.3	10	1000	300	52692000
-0.1	10	1000	300	52692000
-1	10	1000	200	51840000
-0.5	10	1000	200	51840000
-0.3	10	1000	200	51840000
-0.1	10	1000	200	51840000
-1	10	1000	50	49820000
-0.5	10	1000	50	49820000
-0.3	10	1000	50	49820000
-0.1	10	1000	50	49820000
-1	10	1000	25	49272000
-0.5	10	1000	25	49272000
-0.3	10	1000	25	49272000
-0.1	10	1000	25	49272000
-1	10	1000	10	47780000
-0.5	10	1000	10	47780000
-0.3	10	1000	10	47780000
-0.1	10	1000	10	47780000
-1	10	1000	5	49622000
-0.5	10	1000	5	49622000
-0.3	10	1000	5	49622000
-0.1	10	1000	5	49622000
-1	10	800	500	52094000
-0.5	10	800	500	52094000
-0.3	10	800	500	52094000
-0.1	10	800	500	52094000
-1	10	800	400	50154000
-0.5	10	800	400	50154000
-0.3	10	800	400	50154000
-0.1	10	800	400	50154000
-1	10	800	300	50986000
-0.5	10	800	300	50986000
-0.3	10	800	300	50986000
-0.1	10	800	300	50986000
-1	10	800	200	50544000
-0.5	10	800	200	50544000
-0.3	10	800	200	50544000
-0.1	10	800	200	50544000
-1	10	800	50	48036000
-0.5	10	800	50	48036000
-0.3	10	800	50	48036000
-0.1	10	800	50	48036000
-1	10	800	25	49538000
-0.5	10	800	25	49538000
-0.3	10	800	25	49538000
-0.1	10	800	25	49538000
-1	10	800	10	47848000
-0.5	10	800	10	47848000
-0.3	10	800	10	47848000
-0.1	10	800	10	47848000
-1	10	800	5	49722000
-0.5	10	800	5	49722000
-0.3	10	800	5	49722000
-0.1	10	800	5	49722000
-1	10	600	500	52094000
-0.5	10	600	500	52094000
-0.3	10	600	500	52094000
-0.1	10	600	500	52094000
-1	10	600	400	50154000
-0.5	10	600	400	50154000
-0.3	10	600	400	50154000
-0.1	10	600	400	50154000
-1	10	600	300	48684000
-0.5	10	600	300	48684000
-0.3	10	600	300	48684000
-0.1	10	600	300	48684000
-1	10	600	200	48654000
-0.5	10	600	200	48654000
-0.3	10	600	200	48654000
